Keys,English,Pandunia
language.name,English,pandunia
language.region,United States,dunia
language.code,en_us,qpn
narrator.button.accessibility,Accessibility,Accessibility
narrator.button.language,Language,baxe
narrator.button.difficulty_lock,Difficulty lock,Difficulty lock
narrator.button.difficulty_lock.unlocked,Unlocked,Unlocked
narrator.button.difficulty_lock.locked,Locked,Locked
narrator.screen.title,Title Screen,ekrane da temonam
narrator.controls.reset,Reset %s button,repo loka %s botone
narrator.controls.bound,%s is bound to %s,%s limiti pa %s
narrator.controls.unbound,%s is not bound,%s no limiti
narrator.select,Selected: %s,cuzi: %s
narrator.select.world,"Selected %s, last played: %s, %s, %s, version: %s","cuzi %s, fini gema: %s, %s, %s, version: %s"
narrator.loading,Loading: %s,lada: %s
narrator.loading.done,Done,fina
narrator.joining,Joining,samuna
narration.suggestion.tooltip,Selected suggestion %d out of %d: %s (%s),cuzi suje %d du %d: %s (%s)
narration.suggestion,Selected suggestion %d out of %d: %s,cuzi suje %d du %d: %s
gui.done,Done,fina
gui.cancel,Cancel,nola
gui.back,Back,retra
gui.toTitle,Back to title screen,retra pa temonam
gui.toMenu,Back to server list,retra pa liste da server
gui.up,Up,gawu
gui.down,Down,talu
gui.yes,Yes,si
gui.no,No,no
gui.none,None,nol
gui.all,All,pan
gui.ok,Ok,okeya
gui.proceed,Proceed,prosesa
gui.recipebook.moreRecipes,Right Click for more,raito klika pa maxi
gui.recipebook.toggleRecipes.all,Showing all,xowa pan
gui.recipebook.toggleRecipes.craftable,Showing craftable,xowa jangabli
gui.recipebook.toggleRecipes.smeltable,Showing smeltable,Showing smeltable
gui.recipebook.toggleRecipes.blastable,Showing blastable,Showing blastable
gui.recipebook.toggleRecipes.smokable,Showing smokable,xowa dumanabli
gui.narrate.button,%s button,%s botone
gui.narrate.slider,%s slider,%s gliser
gui.narrate.editBox,%s edit box: %s,%s muta sanduke: %s
translation.test.none,"Hello, world!","salame, dunia!"
translation.test.complex,"Prefix, %s%2$s again %s and %1$s lastly %s and also %1$s again!","predofikse, %s%2$s repo %s e %1$s fini %s e plus %1$s repo!"
translation.test.escape,%%s %%%s %%%%s %%%%%s,%%s %%%s %%%%s %%%%%s
translation.test.invalid,hi %,halow %
translation.test.invalid2,hi %  s,halow %  s
translation.test.args,%s %s,%s %s
translation.test.world,world,dunia
menu.game,Game Menu,Game Menu
menu.singleplayer,Singleplayer,unogemer
menu.multiplayer,Multiplayer,multogemer
menu.online,Minecraft Realms,mainkrafte Realms
menu.options,Options...,cuzable...
menu.quit,Quit Game,fina geme
menu.returnToMenu,Save and Quit to Title,Save and Quit to Title
menu.disconnect,Disconnect,samunula
menu.returnToGame,Back to Game,ruka pa geme
menu.generatingLevel,Generating world,jena dunia
menu.loadingLevel,Loading world,lada dunia
menu.savingLevel,Saving world,sekura dunia
menu.working,Working...,werka...
menu.savingChunks,Saving chunks,Saving chunks
menu.preparingSpawn,Preparing spawn area: %s%%,reda zayisa aria: %s%%
menu.loadingForcedChunks,Loading forced chunks for dimension %s,Loading forced chunks for dimension %s
menu.generatingTerrain,Building terrain,Building terrain
menu.convertingLevel,Converting world,muta dunia
menu.respawning,Respawning,repo zayisa
menu.shareToLan,Open to LAN,kaya pa LAN
menu.sendFeedback,Give Feedback,Give Feedback
menu.reportBugs,Report Bugs,reporta probleme
menu.paused,Game paused,pauzani geme
menu.modded, (Modded), (Modded)
optimizeWorld.confirm.title,Optimize world,kamila dunia
optimizeWorld.confirm.description,"This will attempt to optimize your world by making sure all data is stored in the most recent game format. This can take a very long time, depending on your world. Once done, your world may play faster but will no longer be compatible with older versions of the game. Are you sure you wish to proceed?","ye wilo testa kamila ti dunia pa sekura pani date sa maximo novi forme. ye abla dura poli zamane, xartu ti dunia. sa finu, ti dunia abla gemu maxo rapido, a le no funcu sa maxo purani versione da geme. te sekuro wana jina?"
optimizeWorld.title,Optimizing World '%s',zay kamila dunia '%s'
optimizeWorld.stage.counting,Counting chunks...,Counting chunks...
optimizeWorld.stage.upgrading,Upgrading all chunks...,Upgrading all chunks...
